城市,日期,AQI指数,空气质量级别
上海市,2017-05-12,70,良
上海市,2017-05-13,120,轻度污染
上海市,2017-05-14,106,轻度污染
上海市,2017-05-15,64,良
上海市,2017-05-16,60,良
上海市,2017-05-17,78,良
上海市,2017-05-18,97,良
上海市,2017-05-19,98,良
上海市,2017-05-20,71,良
上海市,2017-05-21,68,良
上海市,2017-05-22,55,良
上海市,2017-05-23,44,优
上海市,2017-05-24,53,良
上海市,2017-05-25,96,良
上海市,2017-05-26,81,良
上海市,2017-05-27,111,轻度污染
上海市,2017-05-28,131,轻度污染
上海市,2017-05-29,90,良
上海市,2017-05-30,95,良
上海市,2017-05-31,116,轻度污染
上海市,2017-06-01,131,轻度污染
上海市,2017-06-02,89,良
上海市,2017-06-03,85,良
上海市,2017-06-04,77,良
上海市,2017-06-05,65,良
上海市,2017-06-06,52,良
上海市,2017-06-07,149,轻度污染
上海市,2017-06-08,157,中度污染
上海市,2017-06-09,142,轻度污染
上海市,2017-06-10,48,优
上海市,2017-06-11,76,良
上海市,2017-06-12,64,良
上海市,2017-06-13,52,良
上海市,2017-06-14,60,良
上海市,2017-06-15,82,良
上海市,2017-06-16,87,良
上海市,2017-06-17,106,轻度污染
上海市,2017-06-18,67,良
上海市,2017-06-19,45,优
上海市,2017-06-20,47,优
上海市,2017-06-21,49,优
上海市,2017-06-22,55,良
上海市,2017-06-23,75,良
上海市,2017-06-24,60,良
上海市,2017-06-25,68,良
上海市,2017-06-26,123,轻度污染
上海市,2017-06-27,124,轻度污染
上海市,2017-06-28,86,良
上海市,2017-06-29,52,良
上海市,2017-06-30,94,良
上海市,2017-07-01,100,良
上海市,2017-07-02,60,良
上海市,2017-07-03,97,良
上海市,2017-07-04,70,良
上海市,2017-07-05,101,轻度污染
上海市,2017-07-06,122,轻度污染
上海市,2017-07-07,107,轻度污染
上海市,2017-07-08,95,良
上海市,2017-07-09,67,良
上海市,2017-07-10,49,优
上海市,2017-07-11,115,轻度污染
上海市,2017-07-12,152,中度污染
上海市,2017-07-13,172,中度污染
上海市,2017-07-14,150,轻度污染
上海市,2017-07-15,137,轻度污染
上海市,2017-07-16,135,轻度污染
上海市,2017-07-17,75,良
上海市,2017-07-18,144,轻度污染
上海市,2017-07-19,147,轻度污染
上海市,2017-07-20,160,中度污染
上海市,2017-07-21,195,中度污染
上海市,2017-07-22,164,中度污染
上海市,2017-07-23,200,中度污染
上海市,2017-07-24,204,重度污染
上海市,2017-07-25,162,中度污染
上海市,2017-07-26,118,轻度污染
上海市,2017-07-27,96,良
上海市,2017-07-28,46,优
上海市,2017-07-29,35,优
上海市,2017-07-30,33,优
上海市,2017-07-31,40,优
上海市,2017-08-01,46,优
上海市,2017-08-02,52,良
上海市,2017-08-03,137,轻度污染
上海市,2017-08-04,139,轻度污染
上海市,2017-08-05,87,良
上海市,2017-08-06,166,中度污染
上海市,2017-08-07,191,中度污染
上海市,2017-08-08,59,良
上海市,2017-08-09,48,优
上海市,2017-08-10,172,中度污染
上海市,2017-08-11,179,中度污染
上海市,2017-08-12,92,良
上海市,2017-08-13,73,良
上海市,2017-08-14,67,良
上海市,2017-08-15,134,轻度污染
上海市,2017-08-16,92,良
上海市,2017-08-17,116,轻度污染
上海市,2017-08-18,138,轻度污染
上海市,2017-08-19,140,轻度污染
上海市,2017-08-20,48,优
上海市,2017-08-21,72,良
上海市,2017-08-22,25,优
上海市,2017-08-23,35,优
